epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,50.3132,0.6362,0.80833,1,0.40404,0.00025005,0.00025005,0.00025005
2,94.9905,0.31538,0.86667,1,0.31993,0.00049119,0.00049119,0.00049119
3,141.573,0.21329,0.9,1,0.22273,0.000705924,0.000705924,0.000705924
4,186.882,0.26313,0.875,1,0.35444,0.000894254,0.000894254,0.000894254
5,231.724,0.2139,0.875,1,0.33483,0.00105618,0.00105618,0.00105618
6,278.559,0.24605,0.9,1,0.34013,0.0011917,0.0011917,0.0011917
7,322.927,0.2479,0.84167,1,0.44028,0.0011719,0.0011719,0.0011719
8,367.967,0.19963,0.85,1,0.46425,0.00108938,0.00108938,0.00108938
9,413.058,0.26983,0.81667,1,0.93953,0.00100687,0.00100687,0.00100687
10,459.332,0.19531,0.86667,1,0.36221,0.000924352,0.000924352,0.000924352
11,505.303,0.22612,0.85833,1,0.50381,0.000841835,0.000841835,0.000841835
12,550.864,0.17333,0.9,1,0.37822,0.000759318,0.000759318,0.000759318
13,596.58,0.13349,0.9,1,0.30445,0.000676802,0.000676802,0.000676802
14,643.843,0.15691,0.91667,1,0.23169,0.000594286,0.000594286,0.000594286
15,692.226,0.1234,0.86667,1,0.4565,0.000511769,0.000511769,0.000511769
16,739.037,0.1256,0.85833,1,0.47412,0.000429253,0.000429253,0.000429253
17,786.513,0.07185,0.85833,1,0.4153,0.000346736,0.000346736,0.000346736
18,833.613,0.05941,0.875,1,0.38344,0.00026422,0.00026422,0.00026422
19,882.766,0.06323,0.85,1,0.40069,0.000181703,0.000181703,0.000181703
20,928.855,0.04508,0.85833,1,0.39416,9.91865e-05,9.91865e-05,9.91865e-05
